Metric,WT,ET,TC,All Classes
Dice Score (Base),0.757,0.619,0.724,0.7
Dice Score (Random),0.773,0.654,0.732,0.72
Dice Score (Active),0.762,0.654,0.76,0.726
Precision (Base),0.837,0.692,0.845,0.791
Precision (Random),0.86,0.711,0.848,0.806
Precision (Active),0.887,0.747,0.9,0.845
Recall (Base),0.761,0.66,0.78,0.734
Recall (Random),0.78,0.711,0.79,0.76
Recall (Active),0.751,0.692,0.781,0.741
Hausdorff (Base),2.98,3.32,2.2,2.82
Hausdorff (Random),2.9,3.22,2.1,2.74
Hausdorff (Active),2.85,3.11,1.99,2.65
